,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude
3862,Friday,Assault,ELIZABETH ST \ GUERRERO ST,37.752777617803204,-122.42290957373044
3863,Tuesday,Motor Vehicle Theft,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3864,Monday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3865,Wednesday,Burglary,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3866,Sunday,Missing Person,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3867,Tuesday,Larceny Theft,27TH ST \ GUERRERO ST,37.74717191411707,-122.42238353723677
3868,Monday,Vandalism,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3869,Saturday,Other Miscellaneous,GUERRERO ST \ CESAR CHAVEZ ST,37.74801344882507,-122.42248736491136
3870,Friday,Assault,ELIZABETH ST \ GUERRERO ST,37.752777617803204,-122.42290957373044
3871,Tuesday,Non-Criminal,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3872,Sunday,Stolen Property,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3873,Monday,Larceny Theft,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3874,Saturday,Traffic Collision,20TH ST \ GUERRERO ST,37.75836454766479,-122.423488532466
3875,Saturday,Recovered Vehicle,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3876,Tuesday,Malicious Mischief,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.770747744629546,-122.42485259980008
3877,Friday,Burglary,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
3878,Saturday,Missing Person,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3879,Friday,Other Miscellaneous,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3880,Sunday,Other,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
3881,Wednesday,Other Miscellaneous,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3882,Friday,Non-Criminal,20TH ST \ GUERRERO ST,37.75836454766479,-122.423488532466
3883,Saturday,Suspicious Occ,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3884,Friday,Burglary,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3885,Monday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3886,Friday,Burglary,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3887,Tuesday,Burglary,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3888,Wednesday,Fraud,HILL ST \ GUERRERO ST,37.755970966730814,-122.42321453596978
3889,Friday,Larceny Theft,24TH ST \ GUERRERO ST,37.75197162434785,-122.4228788338116
3890,Thursday,Motor Vehicle Theft,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3891,Wednesday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3892,Wednesday,Larceny Theft,GUERRERO ST \ DUNCAN ST,37.7463765189734,-122.42231065611328
3893,Saturday,Motor Vehicle Theft,ELIZABETH ST \ GUERRERO ST,37.752777617803204,-122.42290957373044
3894,Thursday,Motor Vehicle Theft,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3895,Monday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3896,Monday,Assault,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3897,Friday,Robbery,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3898,Sunday,Other Miscellaneous,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
3899,Tuesday,Larceny Theft,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3900,Sunday,Malicious Mischief,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
3901,Wednesday,Malicious Mischief,GUERRERO ST \ BROSNAN ST,37.768629313657044,-122.42442416173678
3902,Thursday,Larceny Theft,GUERRERO ST \ ALVARADO ST,37.754375197396186,-122.42306213798885
3903,Friday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3904,Friday,Assault,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3905,Tuesday,Other Miscellaneous,GUERRERO ST \ CESAR CHAVEZ ST,37.74801344882507,-122.42248736491136
3906,Sunday,Recovered Vehicle,ELIZABETH ST \ GUERRERO ST,37.752777617803204,-122.42290957373044
3907,Monday,Malicious Mischief,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
3908,Wednesday,Malicious Mischief,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3909,Friday,Non-Criminal,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3910,Saturday,Other Miscellaneous,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3911,Saturday,Malicious Mischief,GUERRERO ST \ CAMP ST,37.763965996140094,-122.42398155607306
3912,Tuesday,Burglary,21ST ST \ GUERRERO ST,37.756768780060355,-122.42333060702008
3913,Monday,Case Closure,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3914,Tuesday,Non-Criminal,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3915,Friday,Offences Against The Family And Children,GUERRERO ST \ DORLAND ST,37.76234101171303,-122.4239265643018
3916,Thursday,Non-Criminal,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3917,Monday,Motor Vehicle Theft,23RD ST \ GUERRERO ST,37.75356917984707,-122.42302846551908
3918,Monday,Burglary,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3919,Tuesday,Fraud,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3920,Thursday,Burglary,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3921,Friday,Larceny Theft,SAN JOSE AVE \ 28TH ST \ GUERRERO ST,37.7455788126339,-122.42221829226034
3922,Wednesday,Burglary,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3923,Saturday,Burglary,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3924,Monday,Larceny Theft,GUERRERO ST \ CUMBERLAND ST,37.759164226885794,-122.42361294279785
3925,Thursday,Non-Criminal,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3926,Monday,Lost Property,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3927,Thursday,Burglary,27TH ST \ GUERRERO ST,37.74717191411707,-122.42238353723677
3928,Sunday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3929,Thursday,Warrant,27TH ST \ GUERRERO ST,37.74717191411707,-122.42238353723677
3930,Monday,Burglary,27TH ST \ GUERRERO ST,37.74717191411707,-122.42238353723677
3931,Thursday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3932,Thursday,Burglary,27TH ST \ GUERRERO ST,37.74717191411707,-122.42238353723677
3933,Friday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3934,Wednesday,Non-Criminal,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3935,Saturday,Burglary,GUERRERO ST \ ALVARADO ST,37.754375197396186,-122.42306213798885
3936,Sunday,Burglary,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3937,Saturday,Other Miscellaneous,20TH ST \ GUERRERO ST,37.75836454766479,-122.423488532466
3938,Tuesday,Other Miscellaneous,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3939,Friday,Fraud,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3940,Tuesday,Non-Criminal,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3941,Monday,Suspicious Occ,GUERRERO ST \ BROSNAN ST,37.768629313657044,-122.42442416173678
3942,Friday,Motor Vehicle Theft,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3943,Saturday,Motor Vehicle Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3944,Wednesday,Malicious Mischief,GUERRERO ST \ DORLAND ST,37.76234101171303,-122.4239265643018
3945,Monday,Offences Against The Family And Children,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3946,Saturday,Malicious Mischief,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3947,Thursday,Burglary,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3948,Thursday,Burglary,GUERRERO ST \ DUNCAN ST,37.7463765189734,-122.42231065611328
3949,Monday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3950,Monday,Larceny Theft,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3951,Thursday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3952,Friday,Burglary,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.770747744629546,-122.42485259980008
3953,Tuesday,Burglary,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3954,Tuesday,Burglary,GUERRERO ST \ ALVARADO ST,37.754375197396186,-122.42306213798885
3955,Friday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101171303,-122.4239265643018
3956,Thursday,Other,GUERRERO ST \ CAMP ST,37.763965996140094,-122.42398155607306
3957,Saturday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3958,Sunday,Malicious Mischief,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3959,Sunday,Fraud,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
3960,Saturday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101171303,-122.4239265643018
3961,Wednesday,Burglary,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3962,Tuesday,Burglary,GUERRERO ST \ DORLAND ST,37.76234101171303,-122.4239265643018
