,probability,rate,overnight,openSpaces
229,46.0,0.0,1,4
230,78.0,0.0,1,3
231,83.0,0.0,1,5
232,43.0,0.0,1,1
233,78.0,0.0,1,6
234,83.0,0.0,1,9
235,81.0,0.0,1,11
236,83.0,0.0,1,11
237,76.0,0.0,1,6
238,89.0,0.0,1,12
239,86.0,0.0,1,8
240,38.0,0.0,1,1
241,92.0,0.0,1,7
242,93.0,0.0,1,16
243,94.0,0.0,1,9
244,,inf,0,0
245,85.0,0.0,1,16
246,,inf,0,0
247,50.0,0.0,1,1
248,89.0,0.0,1,12
249,83.0,0.0,1,5
250,43.0,0.0,1,1
251,71.0,0.0,1,6
252,89.0,0.0,1,21
253,46.0,0.0,1,4
254,78.0,0.0,1,3
255,53.0,0.0,1,6
256,85.0,0.0,1,12
257,63.0,0.0,1,12
258,81.0,0.0,1,6
259,80.0,0.0,1,5
260,56.0,0.0,1,4
261,8.0,0.0,1,1
262,56.0,0.0,1,4
263,85.0,0.0,1,4
264,85.0,0.0,1,5
265,30.0,0.0,1,5
266,59.0,0.0,1,18
267,41.0,0.0,1,4
268,85.0,0.0,1,20
269,90.0,0.0,1,8
270,59.0,0.0,1,18
271,41.0,0.0,1,4
272,42.0,0.0,1,5
273,67.0,0.0,1,9
274,27.0,0.0,1,1
275,70.0,0.0,1,14
276,,0.0,1,0
277,36.0,0.0,1,6
278,61.0,0.0,1,4
279,36.0,0.0,1,12
280,78.0,0.0,1,4
281,29.0,0.0,1,3
282,87.0,0.0,1,7
283,56.0,0.0,1,5
284,82.0,0.0,1,4
285,39.0,0.0,1,3
286,46.0,0.0,1,4
287,78.0,0.0,1,3
288,45.0,0.0,1,4
289,58.0,0.0,1,4
290,33.0,0.0,1,4
291,60.0,0.0,1,3
292,65.0,0.0,1,5
293,34.0,0.0,1,3
294,41.0,0.0,1,2
295,68.0,0.0,1,3
296,45.0,0.0,1,2
297,67.0,0.0,1,6
298,32.0,0.0,1,1
299,36.0,0.0,1,5
300,45.0,0.0,1,4
301,58.0,0.0,1,4
302,33.0,0.0,1,4
303,60.0,0.0,1,3
304,65.0,0.0,1,5
305,34.0,0.0,1,3
306,41.0,0.0,1,2
307,68.0,0.0,1,3
308,45.0,0.0,1,2
309,67.0,0.0,1,6
310,32.0,0.0,1,1
311,36.0,0.0,1,5
312,40.0,0.0,1,2
313,39.0,0.0,1,3
314,82.0,0.0,1,4
315,24.0,0.0,1,2
316,76.0,0.0,1,6
317,32.0,0.0,1,1
318,42.0,0.0,1,3
319,26.0,0.0,1,1
320,78.0,0.0,1,6
321,41.0,0.0,1,2
322,68.0,0.0,1,3
323,33.0,0.0,1,4
324,60.0,0.0,1,3
325,58.0,0.0,1,4
326,71.0,0.0,1,3
327,36.0,0.0,1,1
328,54.0,0.0,1,1
329,43.0,0.0,1,1
330,,inf,0,0
331,33.0,0.0,1,3
332,47.0,0.0,1,2
333,42.0,0.0,1,3
334,73.0,0.0,1,8
335,46.0,0.0,1,4
336,78.0,0.0,1,3
337,53.0,0.0,1,6
338,85.0,0.0,1,12
339,63.0,0.0,1,12
340,81.0,0.0,1,6
341,80.0,0.0,1,5
342,56.0,0.0,1,4
343,8.0,0.0,1,1
344,56.0,0.0,1,4
345,85.0,0.0,1,4
346,85.0,0.0,1,5
